problem I,problem G,sol len,custom_time,custom_explored,custom_frontier,lmc_time,lmc_explored,lmc_frontier,LA_time,LA_explored,LA_frontier,LA_used2,PLA_time,PLA_explored,PLA_frontier,PLA_used2
"[['G', 'C'], ['E', 'D', 'B', 'F', 'A']]","[['C', 'B', 'E', 'A', 'F', 'D', 'G']]",10,1.786224365234375,418,1308,4.188800096511841,112,531,1.7592988014221191,109,516,250,1.5329008102416992,147,612,196
"[['A', 'E'], ['B', 'F', 'D', 'G', 'C']]","[['A', 'D', 'B', 'C', 'E', 'F', 'G']]",10,3.62630295753479,612,1950,6.311127185821533,163,852,2.563145160675049,157,839,374,2.408562183380127,223,936,339
"[['A', 'F', 'C'], ['G', 'D', 'E', 'B']]","[['G', 'C', 'B', 'E', 'D', 'A', 'F']]",10,7.208240032196045,977,2594,8.847344636917114,220,901,5.26595401763916,216,886,618,5.82638955116272,392,1315,475
"[['B', 'C', 'G', 'F', 'A', 'D'], ['E']]","[['B', 'C', 'A', 'D', 'E', 'G', 'F']]",9,0.3750307559967041,209,587,2.455402135848999,98,369,1.1898193359375,97,365,176,0.6901533603668213,136,428,75
"[['B', 'D'], ['C', 'E', 'A', 'F', 'G']]","[['G', 'F', 'E', 'D', 'C', 'B', 'A']]",8,0.017952442169189453,26,111,0.3620595932006836,12,62,0.11669564247131348,12,62,22,0.08972406387329102,21,102,6
"[['B', 'A', 'E', 'C', 'F'], ['D', 'G']]","[['F', 'E', 'G', 'A', 'C', 'B', 'D']]",8,0.10871028900146484,28,111,0.7479994297027588,11,57,0.22240543365478516,11,57,23,0.07081103324890137,24,102,5
"[['E'], ['A', 'C', 'F', 'B', 'G', 'D']]","[['B', 'C', 'G', 'A', 'D', 'F', 'E']]",10,0.37399911880493164,147,642,1.4880244731903076,39,190,0.42087221145629883,36,173,59,0.39294934272766113,56,237,63
"[['E'], ['A', 'C', 'F', 'B', 'G', 'D']]","[['B', 'C', 'G', 'A', 'D', 'F', 'E']]",10,0.1964423656463623,147,642,1.1868298053741455,36,177,0.3929460048675537,34,165,57,0.30418872833251953,55,235,62
"[['D', 'F', 'B'], ['E', 'G', 'C', 'A']]","[['E', 'A', 'F', 'D', 'C', 'G', 'B']]",10,3.2223846912384033,813,2262,5.720341205596924,243,933,2.6658408641815186,235,908,539,2.4085586071014404,296,1019,409
"[['B', 'E', 'A', 'D'], ['C', 'G', 'F']]","[['E', 'F', 'B', 'G', 'D', 'A', 'C']]",9,0.11170148849487305,100,392,0.5774900913238525,25,122,0.22636198997497559,25,122,59,0.19747066497802734,62,265,34
"[['E', 'G'], ['F', 'D', 'C', 'B', 'A']]","[['E', 'G', 'B', 'C', 'F', 'A', 'D']]",7,0.008975028991699219,26,69,0.19448161125183105,13,51,0.07878971099853516,13,51,24,0.023935794830322266,26,69,0
"[['F', 'G'], ['C', 'E', 'D', 'B', 'A']]","[['D', 'G', 'A', 'E', 'B', 'F', 'C']]",9,0.07978653907775879,83,321,0.5146558284759521,21,107,0.17253804206848145,20,103,45,0.12865734100341797,55,228,24
"[['A', 'B', 'E', 'F', 'C', 'D'], ['G']]","[['A', 'D', 'E', 'G', 'F', 'C', 'B']]",11,12.992263078689575,1530,4515,12.35001277923584,444,2060,6.586392164230347,431,2001,1135,6.267240762710571,434,2001,1061
"[['B', 'E', 'A', 'D'], ['G', 'F', 'C']]","[['G', 'A', 'E', 'B', 'F', 'D', 'C']]",9,0.5385293960571289,308,911,1.9318339824676514,99,365,0.9484634399414062,97,362,209,0.6861677169799805,194,620,96
"[['B', 'A', 'G', 'D', 'E'], ['F', 'C']]","[['C', 'E', 'A', 'B', 'G', 'D', 'F']]",9,0.09275174140930176,120,307,0.8337693214416504,45,171,0.3510611057281494,44,168,86,0.1735363006591797,86,247,34
"[['G', 'C', 'D', 'A', 'F'], ['B', 'E']]","[['D', 'C', 'G', 'F', 'B', 'E', 'A']]",10,1.543905258178711,500,1586,3.6133077144622803,145,633,1.4571025371551514,136,593,330,1.359365463256836,197,754,254
"[['B', 'F', 'E', 'G'], ['C', 'D', 'A']]","[['D', 'G', 'B', 'E', 'F', 'A', 'C']]",10,1.41986083984375,475,1454,3.2552449703216553,125,618,1.470071792602539,125,618,298,1.1908159255981445,166,681,237
"[['A', 'C', 'B', 'E'], ['G', 'F', 'D']]","[['F', 'C', 'G', 'A', 'E', 'D', 'B']]",10,1.3703362941741943,460,1554,2.7616145610809326,104,523,1.2376925945281982,100,506,268,1.088089942932129,141,594,217
"[['B', 'F', 'D'], ['G', 'A', 'C', 'E']]","[['B', 'F', 'A', 'C', 'G', 'E', 'D']]",8,0.13065099716186523,142,400,0.9564425945281982,53,223,0.3929171562194824,52,219,113,0.16459250450134277,132,395,10
"[['C', 'A', 'E', 'D', 'B'], ['F', 'G']]","[['D', 'C', 'A', 'B', 'G', 'F', 'E']]",10,2.122359037399292,630,1866,3.832751512527466,158,723,2.0275466442108154,152,697,444,1.864048957824707,246,864,329
"[['D', 'B', 'A', 'C', 'G'], ['E', 'F']]","[['F', 'G', 'E', 'D', 'A', 'C', 'B']]",10,1.139920711517334,420,1333,3.80881667137146,163,704,1.4720966815948486,157,666,320,1.1588687896728516,191,713,235
"[['E', 'F', 'C'], ['G', 'D', 'B', 'A']]","[['B', 'D', 'G', 'E', 'A', 'F', 'C']]",10,1.6465959548950195,547,1565,4.894946336746216,214,850,2.0056371688842773,206,834,415,1.580740213394165,256,875,279
"[['B', 'G'], ['C', 'D', 'F', 'A', 'E']]","[['G', 'C', 'A', 'B', 'F', 'E', 'D']]",11,9.206386804580688,1207,3414,10.983728408813477,398,1739,5.049499034881592,381,1687,873,4.713396310806274,393,1684,785
"[['B', 'F', 'C', 'A'], ['E', 'G', 'D']]","[['A', 'G', 'E', 'C', 'F', 'D', 'B']]",8,0.026960372924804688,40,161,0.2912290096282959,14,64,0.089752197265625,12,52,23,0.047876596450805664,33,147,7
