problem I,problem G,sol len,custom_time,custom_explored,custom_frontier,lmc_time,lmc_explored,lmc_frontier,LA_time,LA_explored,LA_frontier,LA_used2,PLA_time,PLA_explored,PLA_frontier,PLA_used2
"[[0, 0, 0], ['p2', 0, 't2'], ['p3', 'p1', 't1']]","[[2, 2], [0, 0], [2, 1]]",13,2.15378809,1127,1472,2.383627176,168,351,2.340738297,168,351,488,2.35371089,360,627,435
"[['p2', 0, 'p1'], ['t1', 0, 0], ['t2', 0, 'p3']]","[[1, 1], [0, 2], [2, 1]]",14,1.822131157,1000,1235,3.93746829,302,473,3.557491779,295,454,610,2.554167747,488,580,336
"[['p3', 0, 'p1'], ['p2', 't1', 0], [0, 0, 't2']]","[[2, 1], [1, 2], [0, 2]]",17,19.56369281,3617,4183,26.54161286,1635,2073,18.84760547,1445,1888,2538,13.71433234,2019,2467,1237
,,,,,,,,,,,,,,,,
"[[0, 0, 'p1'], [0, 0, 'p2'], ['t2', 'p3', 't1']]","[[2, 1], [1, 1], [2, 1]]",11,0.912561417,463,688,2.311817169,164,284,1.709407568,159,268,367,1.296554089,211,313,275
"[['t1', 'p2', 'p1'], ['t2', 0, 'p3'], [0, 0, 0]]","[[0, 1], [1, 0], [0, 0]]",16,10.43908978,2514,3045,16.01269484,987,1496,12.52551031,951,1431,1901,8.648875237,1378,1775,1088
"[[0, 't2', 'p3'], ['p1', 'p2', 0], ['t1', 0, 0]]","[[0, 1], [0, 1], [1, 0]]",14,3.916530848,1275,2092,7.782191992,523,983,5.233006954,487,924,1016,3.853663683,689,1155,559
"[['p3', 'p1', 't2'], [0, 0, 0], ['t1', 'p2', 0]]","[[2, 0], [1, 0], [1, 2]]",17,33.48009849,4560,5564,40.20508146,2275,3060,27.25609159,2051,2838,3563,24.83160901,3198,3885,1143
"[[0, 'p2', 0], [0, 0, 't1'], ['t2', 'p1', 'p3']]","[[1, 2], [1, 2], [2, 1]]",14,4.781719685,1487,2021,6.911488771,448,810,5.473398209,444,796,1004,4.488965988,735,1076,664
"[[0, 0, 't2'], ['p1', 'p3', 0], ['p2', 0, 't1']]","[[0, 2], [1, 2], [1, 2]]",18,40.08044696,5270,5910,57.30278921,3110,3999,38.85266757,2680,3539,4500,30.71349072,3366,4052,2412
"[['p1', 0, 't1'], ['p3', 'p2', 0], [0, 't2', 0]]","[[1, 2], [0, 2], [2, 2]]",,,,,,,,79.17489123344421,5168,5849,8351,75.39233112335205,6615,6993,4072
"[[0, 0, 'p2'], ['t1', 'p1', 0], [0, 'p3', 't2']]","[[2, 1], [1, 1], [1, 2]]",13,2.1943249702453613,1040,1513,4.806523323059082,369,686,3.645395517349243,359,659,787,2.621023178100586,572,851,469
"[['p2', 0, 't2'], [0, 0, 0], ['p1', 't1', 'p3']]","[[1, 1], [1, 2], [0, 1]]",18,33.70701241493225,5083,5850,36.68809390068054,2494,3128,28.27473473548889,2308,2939,3959,23.479028940200806,3125,3704,2199
"[['p2', 0, 0], [0, 'p3', 0], ['t2', 'p1', 't1']]","[[2, 2], [0, 0], [2, 0]]",10,0.4527573585510254,422,584,1.2237601280212402,123,237,0.9843676090240479,123,237,279,0.8895902633666992,139,265,232
"[['t2', 0, 'p3'], [0, 'p1', 0], ['p2', 0, 't1']]","[[2, 0], [0, 0], [1, 2]]",14,2.067046880722046,1094,1419,3.3719844818115234,247,393,3.0159363746643066,247,393,560,2.310821771621704,400,566,393
"[['p3', 0, 't1'], ['t2', 0, 0], [0, 'p2', 'p1']]","[[1, 0], [1, 1], [0, 2]]",17,15.387858629226685,3423,3881,14.330683708190918,1010,1641,13.114968538284302,995,1616,2268,10.572785377502441,1582,1984,1437
"[[0, 't1', 0], ['p1', 'p3', 'p2'], ['t2', 0, 0]]","[[1, 0], [1, 0], [1, 2]]",8,0.07579755783081055,105,213,0.3919515609741211,25,80,0.26931262016296387,25,80,76,0.24534344673156738,40,91,63
"[['p1', 0, 0], ['p2', 'p3', 0], ['t1', 't2', 0]]","[[0, 0], [0, 0], [1, 1]]",4,0.006016969680786133,11,31,0.041853904724121094,4,18,0.02297496795654297,4,18,10,0.025928020477294922,4,18,9
